Date Time,Global_active_power,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2006 17:24:00,4.216,0,1,17
16/12/2006 17:25:00,5.36,0,1,16
16/12/2006 17:26:00,5.374,0,2,17
16/12/2006 17:27:00,5.388,0,1,17
16/12/2006 17:28:00,3.666,0,1,17
16/12/2006 17:29:00,3.52,0,2,17
16/12/2006 17:30:00,3.702,0,1,17
16/12/2006 17:31:00,3.7,0,1,17
16/12/2006 17:32:00,3.668,0,1,17
16/12/2006 17:33:00,3.662,0,2,16
16/12/2006 17:34:00,4.448,0,1,17
16/12/2006 17:35:00,5.412,0,1,17
16/12/2006 17:36:00,5.224,0,1,16
16/12/2006 17:37:00,5.268,0,2,17
16/12/2006 17:38:00,4.054,0,1,17
16/12/2006 17:39:00,3.384,0,0,17
16/12/2006 17:40:00,3.27,0,0,17
16/12/2006 17:41:00,3.43,0,0,17
16/12/2006 17:42:00,3.266,0,0,18
16/12/2006 17:43:00,3.728,0,0,17
16/12/2006 17:44:00,5.894,0,0,16
16/12/2006 17:45:00,7.706,0,0,17
16/12/2006 17:46:00,7.026,0,0,16
16/12/2006 17:47:00,5.174,0,0,17
16/12/2006 17:48:00,4.474,0,0,17
16/12/2006 17:49:00,3.248,0,0,17
16/12/2006 17:50:00,3.236,0,0,17
16/12/2006 17:51:00,3.228,0,0,17
16/12/2006 17:52:00,3.258,0,0,17
16/12/2006 17:53:00,3.178,0,0,17
16/12/2006 17:54:00,2.72,0,0,17
16/12/2006 17:55:00,3.758,0,0,17
16/12/2006 17:56:00,4.342,0,0,16
16/12/2006 17:57:00,4.512,0,0,17
16/12/2006 17:58:00,4.058,0,0,17
16/12/2006 17:59:00,2.472,0,0,17
16/12/2006 18:00:00,2.79,0,0,18
16/12/2006 18:01:00,2.624,0,0,17
16/12/2006 18:02:00,2.772,0,0,17
16/12/2006 18:03:00,3.74,0,16,18
16/12/2006 18:04:00,4.928,0,37,16
16/12/2006 18:05:00,6.052,0,37,17
16/12/2006 18:06:00,6.752,0,36,17
16/12/2006 18:07:00,6.474,0,37,16
16/12/2006 18:08:00,6.308,0,36,17
16/12/2006 18:09:00,4.464,0,37,16
16/12/2006 18:10:00,3.396,0,22,18
16/12/2006 18:11:00,3.09,0,12,17
16/12/2006 18:12:00,3.73,0,27,17
16/12/2006 18:13:00,2.308,0,1,17
16/12/2006 18:14:00,2.388,0,1,17
16/12/2006 18:15:00,4.598,0,20,17
16/12/2006 18:16:00,4.524,0,9,17
16/12/2006 18:17:00,4.202,0,1,17
16/12/2006 18:18:00,4.472,0,1,16
16/12/2006 18:19:00,2.852,0,1,17
16/12/2006 18:20:00,2.928,0,1,17
16/12/2006 18:21:00,2.94,0,2,17
16/12/2006 18:22:00,2.934,0,1,17
16/12/2006 18:23:00,2.926,0,1,17
16/12/2006 18:24:00,3.452,0,1,17
16/12/2006 18:25:00,4.87,0,1,17
16/12/2006 18:26:00,4.868,0,1,17
16/12/2006 18:27:00,4.866,0,1,17
16/12/2006 18:28:00,3.176,0,1,17
16/12/2006 18:29:00,2.92,0,1,17
16/12/2006 18:30:00,2.93,0,1,17
16/12/2006 18:31:00,2.912,0,1,17
16/12/2006 18:32:00,2.608,0,1,17
16/12/2006 18:33:00,2.714,0,0,17
16/12/2006 18:34:00,3.538,0,1,16
16/12/2006 18:35:00,6.072,0,27,17
16/12/2006 18:36:00,4.536,0,1,17
16/12/2006 18:37:00,4.408,0,1,16
16/12/2006 18:38:00,2.912,0,1,17
16/12/2006 18:39:00,2.326,0,1,17
16/12/2006 18:40:00,2.264,0,1,17
16/12/2006 18:41:00,2.27,0,1,17
16/12/2006 18:42:00,2.258,0,1,17
16/12/2006 18:43:00,2.188,0,1,17
16/12/2006 18:44:00,2.978,0,1,17
